id,name,email,sex,age,instrument,region,introduction,level,password,chat_flag,,,,,,,,,,,,
21,吉澤 真,session@gmail.com21,男性,38,ドラム,岐阜,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
22,竹下 雄太,session@gmail.com22,男性,18,ボーカル,静岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
23,岩本 拓哉,session@gmail.com23,男性,19,キーボード,愛知,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
24,武藤 茂樹,session@gmail.com24,男性,20,その他,三重,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
25,南 康之,session@gmail.com25,男性,21,ギター,滋賀,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
26,北川 英之,session@gmail.com26,男性,22,ベース,京都,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
27,斎藤 歩,session@gmail.com27,男性,23,ドラム,大阪,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
28,緒方 智之,session@gmail.com28,男性,24,ボーカル,兵庫,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
29,福原 勉,session@gmail.com29,男性,25,キーボード,奈良,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
30,中嶋 慎太郎,session@gmail.com30,男性,26,その他,和歌山,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
31,佐竹 正樹,session@gmail.com31,男性,27,ギター,鳥取,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
32,古賀 涼,session@gmail.com32,男性,28,ベース,島根,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
33,廣瀬 達哉,session@gmail.com33,男性,29,ドラム,岡山,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
34,岩瀬 悟,session@gmail.com34,男性,30,ボーカル,広島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
35,中澤 孝之,session@gmail.com35,男性,31,キーボード,山口,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
36,小田 繁,session@gmail.com36,男性,32,その他,徳島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
37,安達 透,session@gmail.com37,男性,33,ギター,香川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
38,東 耕平,session@gmail.com38,男性,34,ベース,愛媛,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
39,川畑 真一,session@gmail.com39,男性,35,ドラム,高知,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
40,根本 徹也,session@gmail.com40,男性,36,ボーカル,福岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,5,password,TRUE,,,,,,,,,,,,
41,浜田 均,session@gmail.com41,男性,37,キーボード,佐賀,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,1,password,TRUE,,,,,,,,,,,,
42,榎本 篤志,session@gmail.com42,男性,38,その他,長崎,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,2,password,TRUE,,,,,,,,,,,,
43,石黒 雄一郎,session@gmail.com43,男性,18,ギター,熊本,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
44,小坂 智也,session@gmail.com44,男性,19,ベース,大分,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
45,松山 裕,session@gmail.com45,男性,20,ドラム,宮崎,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
46,北野 拓郎,session@gmail.com46,男性,21,ボーカル,鹿児島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
47,江口 直紀,session@gmail.com47,男性,22,キーボード,沖縄,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
48,藤崎 正和,session@gmail.com48,男性,23,その他,北海道,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
49,大城 和男,session@gmail.com49,男性,24,ギター,青森,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
50,吉本 俊夫,session@gmail.com50,男性,25,ベース,岩手,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
51,加納 昭,session@gmail.com51,男性,26,ドラム,宮城,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
52,半田 隆行,session@gmail.com52,男性,27,ボーカル,秋田,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
53,長岡 幸夫,session@gmail.com53,男性,28,キーボード,山形,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
54,三村 賢二,session@gmail.com54,男性,29,その他,福島,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
55,張 龍,session@gmail.com55,男性,30,ギター,茨城,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
56,遠山 康夫,session@gmail.com56,男性,31,ベース,栃木,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
57,島 諭,session@gmail.com57,男性,32,ドラム,群馬,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
58,大崎 康博,session@gmail.com58,男性,33,ボーカル,埼玉,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
59,守屋 憲司,session@gmail.com59,男性,34,キーボード,千葉,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
60,島村 貴,session@gmail.com60,男性,35,その他,東京,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
61,吉田 さゆり,session@gmail.com61,女性,36,ギター,神奈川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
62,清水 裕美子,session@gmail.com62,女性,37,ベース,新潟,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
63,高橋 蘭,session@gmail.com63,女性,38,ドラム,富山,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
64,佐々木 ひかり,session@gmail.com64,女性,18,ボーカル,石川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
65,井上 梨恵,session@gmail.com65,女性,19,キーボード,福井,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
66,榎本 恵子,session@gmail.com66,女性,20,その他,山梨,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
67,藤本 菜摘,session@gmail.com67,女性,21,ギター,長野,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
68,藤井 香澄,session@gmail.com68,女性,22,ベース,岐阜,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
69,中西 律子,session@gmail.com69,女性,23,ドラム,静岡,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
70,落合 淳子,session@gmail.com70,女性,24,ボーカル,愛知,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
71,青木 有美子,session@gmail.com71,女性,25,キーボード,三重,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
72,平野 沙也加,session@gmail.com72,女性,26,その他,滋賀,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
73,草野 ひとみ,session@gmail.com73,女性,27,ギター,京都,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
74,張 綾香,session@gmail.com74,女性,28,ベース,大阪,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
75,川野 真美,session@gmail.com75,女性,29,ドラム,兵庫,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
76,小原 美由紀,session@gmail.com76,女性,30,ボーカル,奈良,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
77,松田 美優,session@gmail.com77,女性,31,キーボード,和歌山,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
78,川上 範子,session@gmail.com78,女性,32,その他,鳥取,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
79,上野 彩音,session@gmail.com79,女性,33,ギター,島根,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
80,長谷川 奈穂美,session@gmail.com80,女性,34,ベース,岡山,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
81,小山 莉沙,session@gmail.com81,女性,35,ドラム,広島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
82,星 佳美,session@gmail.com82,女性,36,ボーカル,山口,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
83,石井 ちか,session@gmail.com83,女性,37,キーボード,徳島,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
84,藤森 春菜,session@gmail.com84,女性,38,その他,香川,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
85,中島 ルミ,session@gmail.com85,女性,18,ギター,愛媛,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,5,password,TRUE,,,,,,,,,,,,
86,工藤 琴音,session@gmail.com86,女性,19,ベース,高知,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,1,password,TRUE,,,,,,,,,,,,
87,宮田 理子,session@gmail.com87,女性,20,ドラム,福岡,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,2,password,TRUE,,,,,,,,,,,,
88,加納 百合子,session@gmail.com88,女性,21,ボーカル,佐賀,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
89,坂本 京,session@gmail.com89,女性,22,キーボード,長崎,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
90,柴田 茉由,session@gmail.com90,女性,23,その他,熊本,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
91,白井 あづさ,session@gmail.com91,女性,24,ギター,大分,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
92,鶴田 翠,session@gmail.com92,女性,25,ベース,宮崎,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
93,西原 美波,session@gmail.com93,女性,26,ドラム,鹿児島,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
94,林田 未希,session@gmail.com94,女性,27,ボーカル,沖縄,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
95,吉村 貴美,session@gmail.com95,女性,28,キーボード,北海道,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
96,野崎 華奈,session@gmail.com96,女性,29,その他,青森,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
97,藤川 汐里,session@gmail.com97,女性,30,ギター,岩手,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
98,杉浦 ふみ,session@gmail.com98,女性,31,ベース,宮城,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
99,浅井 沙知,session@gmail.com99,女性,32,ドラム,秋田,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
100,吉野 淑恵,session@gmail.com100,女性,33,ボーカル,山形,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
101,川原 はるみ,session@gmail.com101,女性,34,キーボード,福島,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
102,黒川 あおい,session@gmail.com102,女性,35,その他,茨城,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
103,中根 美保子,session@gmail.com103,女性,36,ギター,栃木,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
104,宮澤 由里,session@gmail.com104,女性,37,ベース,群馬,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
105,高田 朱音,session@gmail.com105,女性,38,ドラム,埼玉,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
106,山岸 友絵,session@gmail.com106,女性,18,ボーカル,千葉,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
107,長田 明菜,session@gmail.com107,女性,19,キーボード,東京,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
108,石塚 みさと,session@gmail.com108,女性,20,その他,神奈川,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
109,松澤 奈美子,session@gmail.com109,女性,21,ギター,新潟,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
110,岩井 里帆,session@gmail.com110,女性,22,ベース,富山,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
111,堀田 恵実,session@gmail.com111,女性,23,ドラム,石川,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
112,竹下 喜代美,session@gmail.com112,女性,24,ボーカル,福井,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
113,立石 亜子,session@gmail.com113,女性,25,キーボード,山梨,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
114,金澤 美由希,session@gmail.com114,女性,26,その他,長野,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
115,奥山 周子,session@gmail.com115,女性,27,ギター,岐阜,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
116,橘 夏季,session@gmail.com116,女性,28,ベース,静岡,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
117,溝口 芽依,session@gmail.com117,女性,29,ドラム,愛知,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
118,大沼 江利子,session@gmail.com118,女性,30,ボーカル,三重,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
119,進藤 亜衣子,session@gmail.com119,女性,31,キーボード,滋賀,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
120,宇佐美 絵里加,session@gmail.com120,女性,32,その他,京都,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
121,よしだ たつや,session@gmail.com121,男性,18,ベース,北海道,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
122,いとう けんたろう,session@gmail.com122,男性,19,ドラム,青森,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
123,すずき ひろゆき,session@gmail.com123,男性,20,ボーカル,岩手,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
124,いのうえ たかし,session@gmail.com124,男性,21,キーボード,宮城,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
125,やまだ ゆうすけ,session@gmail.com125,男性,22,その他,秋田,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
126,やまもと すすむ,session@gmail.com126,男性,23,ギター,山形,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
127,しみず じゅん,session@gmail.com127,男性,24,ベース,福島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
128,まえだ たくや,session@gmail.com128,男性,25,ドラム,茨城,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
129,まつもと ひろゆき,session@gmail.com129,男性,26,ボーカル,栃木,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
130,こばやし ごう,session@gmail.com130,男性,27,キーボード,群馬,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
131,おおたに まこと,session@gmail.com131,男性,28,その他,埼玉,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
132,やまぐち しんや,session@gmail.com132,男性,29,ギター,千葉,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
133,あおき こうじ,session@gmail.com133,男性,30,ベース,東京,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
134,わだ ひろゆき,session@gmail.com134,男性,31,ドラム,神奈川,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
135,うちだ じゅん,session@gmail.com135,男性,32,ボーカル,新潟,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
136,たけうち ひとし,session@gmail.com136,男性,33,キーボード,富山,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
137,すがわら りょう,session@gmail.com137,男性,34,その他,石川,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
138,いしだ まさる,session@gmail.com138,男性,35,ギター,福井,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
139,なかの ひろし,session@gmail.com139,男性,36,ベース,山梨,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
140,なかしま けんいち,session@gmail.com140,男性,37,ドラム,長野,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
141,えんどう あつし,session@gmail.com141,男性,38,ボーカル,岐阜,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
142,ふくだ ひろし,session@gmail.com142,男性,18,キーボード,静岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
143,あさの ゆたか,session@gmail.com143,男性,19,その他,愛知,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
144,のぐち ひでき,session@gmail.com144,男性,20,ギター,三重,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
145,こんどう しげき,session@gmail.com145,男性,21,ベース,滋賀,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
146,まるやま じゅん,session@gmail.com146,男性,22,ドラム,京都,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
147,さかもと しんご,session@gmail.com147,男性,23,ボーカル,大阪,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
148,あべ はじめ,session@gmail.com148,男性,24,キーボード,兵庫,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
149,くぼた かずひこ,session@gmail.com149,男性,25,その他,奈良,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
150,さかい ゆういち,session@gmail.com150,男性,26,ギター,和歌山,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
151,わたなべ かずき,session@gmail.com151,男性,27,ベース,鳥取,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
152,ふるかわ たかゆき,session@gmail.com152,男性,28,ドラム,島根,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
153,おおつか みのる,session@gmail.com153,男性,29,ボーカル,岡山,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
154,しまだ いちろう,session@gmail.com154,男性,30,キーボード,広島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
155,ふじわら ひであき,session@gmail.com155,男性,31,その他,山口,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
156,おかもと ゆうや,session@gmail.com156,男性,32,ギター,徳島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
157,やまうち じゅんいち,session@gmail.com157,男性,33,ベース,香川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
158,きたむら よういち,session@gmail.com158,男性,34,ドラム,愛媛,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
159,よこやま やすひろ,session@gmail.com159,男性,35,ボーカル,高知,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
160,さいとう さとる,session@gmail.com160,男性,36,キーボード,福岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,5,password,TRUE,,,,,,,,,,,,
161,ほり けんいち,session@gmail.com161,男性,37,その他,佐賀,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,1,password,TRUE,,,,,,,,,,,,
